AÑO;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
1981;0;35.6;53;134.1;264.2;36.9;21.6;51.7;14.9;58.1;199.9;94.7
1982;38.9;36.1;160.4;241.3;78.6;16.8;10.7;16.9;20.8;92.6;131.5;69.3
1983;28.9;53.1;162.8;223.3;68.6;29.5;31.7;5.6;6.4;51.3;66.1;58.8
1984;131.6;64.5;5.4;131.2;58.9;101.3;36.2;56.6;39;27.3;0;16.2
1985;56.5;3;50.2;43.7;115.2;21;33.7;43.5;76;140.6;103.3;42.3
1986;39;92.9;72.3;185.9;107.9;33.6;0;4.1;35.3;222.1;127.1;43.6
1987;13.4;61.1;19.3;45.9;104;10.4;55.8;8.6;36.7;174.5;78.4;3.2
1988;73.3;54.6;28.9;23.6;20.1;65.5;45.4;67.8;62.7;126.6;71.2;102.5
1989;1.6;25.4;111.2;25.9;26;29.6;29;19.9;48;43.1;49.2;55.5
1990;41.5;71.1;12.5;12.4;51.3;30.3;22.4;37.6;7.9;129;39.2;116.6
1991;61.4;12;130.9;58.1;73.6;31.4;52.1;76.9;62.2;23.2;150.7;83.6
1992;15;25.9;52.5;61.4;42.3;14.6;36;33.6;20.4;23.1;164;42.5
1993;65.1;49.3;61;105.2;107.6;34.2;52.1;17.9;43;41.9;57.8;39.9
1994;85.3;53;104.8;91.5;95.4;32.5;44.6;32.1;39.6;99.9;109.1;8.2
1995;1.4;44.8;77.9;93.6;123.7;32.7;30.2;52;22;26.2;67.1;145.8
1996;64.3;62.8;98.2;25.2;36.3;28.7;3.8;32.5;23.7;0;0;0
1997;12.1;9.4;21.7;23.5;9;3.1;29.2;0;0;0.7;109;2.6
1998;0.7;8.3;0;0.9;182.2;43.5;10.5;78.4;84.8;65.6;129;94.1
1999;44.8;99.5;52.2;35.5;81.7;69.8;24.2;54.2;108.6;173.2;111.2;88.8
2000;0;0;0;0;0;0;0;0;0;0;0;0
2001;0;0;0;0;0;0;0;0;0;43.2;48;46.5
2002;35.2;33.3;7.2;0;123;79.3;18.7;33;38.5;122.3;23.3;131.5
2003;38.4;15.7;36.1;118.1;24.6;0;0;0;0;0;0;0
2008;0;0;0;0;0;0;0;0;3.5;33.6;49.7;58.4
2009;46.2;7.3;1.6;0;0;0;0;0;1.1;0;0;0
2010;0;0;0;84.2;161.4;61.3;117;34.8;40.3;83.4;179.7;75.8
2011;102.4;170.4;148.2;222.6;182.5;54.5;67.1;44.8;54.3;154.7;156;115.2
2012;88.4;69.7;151.9;165.7;30.2;39.3;84.2;64.8;19.8;139.7;87.2;76.7
2013;11.9;140.8;76.8;164.9;114.9;27.6;43.6;38.8;37.3;69.6;132;63.9
2014;45.5;54.1;95.4;37.4;64.4;25.8;35.2;13;32.4;103.1;93.7;156.7
2015;15.2;43.8;105.4;79.8;29.2;49.5;31;20.4;36.1;57.8;28.2;1.8
2016;1.9;35.7;85.8;71.2;55.2;25.3;29.3;58;68.8;59;200.5;87
2017;81.5;102.4;197.4;97.7;144.6;88.8;22;63.6;28.1;68.8;0.1;0
2018;29.5;64;37.9;55.6;0;0;0;0;0;0;0;0